Sport,Year,Manufacturer,Athlete,Number,Description,Grade,Certification No.,Purchase Date,Purchase From,Purchase Price,Sold Date,Sold Price,Sold Payment Received,Expenses Shipping,Expenses Grading,Expenses Fees,Profit,ROI
Soccer,2023-24,Merlin,Alejandro Garnacho,96,Rookie,,,4/20/2024,SJ Card Show,$2.00,,,,,,,,
Soccer,2023-24,Stadium Club Chrome,Alejandro Garnacho,49,Rookie,,,4/20/2024,SJ Card Show,$1.00,,,,,,,,
Soccer,2023-24,Merlin,Julian Alvarez,94,Rookie aqua,,,4/20/2024,SJ Card Show,$2.00,,,,,,,,
Soccer,2023-24,Stadium Club Chrome,Kaka,31,Blue Prizm refractor,,,4/20/2024,SJ Card Show,$1.00,11/5/24,6,,,,,5.00,5.0000
Soccer,2023-24,Stadium Club Chrome,Lionel Messi,80,,,,4/20/2024,SJ Card Show,$1.00,1/15/25,4.25,,,,,3.25,3.2500
Football,2023-24,Prizm,Michael Mayer,PJ-MM,Premier Jerseys Pink,,,4/20/2024,SJ Card Show,$3.00,,,,,,,,
Football,2023-24,Prizm,Tyree Wilson,PJ-TW,Premier Jerseys Green,,,4/20/2024,SJ Card Show,$3.00,,,,,,,,
Baseball,1994-95,Flair,Alex Rodriguez,340,Rookie,9,,4/20/2024,SJ Card Show,$15.00,,,,,,,,
Basketball,2012-13,Panini,Anthony Davis,241,Rookie,9,,4/20/2024,SJ Card Show,$20.00,,,,,,,,
Baseball,2023-24,Topps Allen & Ginter,Alex Rodriguez,7,,,,4/20/2024,SJ Card Show,$2.00,,,,,,,,
Basketball,2000-01,Skybox E-X,Jason Williams,23,,,,4/20/2024,SJ Card Show,$2.00,,,,,,,,
Basketball,2000-01,Skybox E-X,Grant Hill,20,,,,4/20/2024,SJ Card Show,$3.00,,,,,,,,
Basketball,2000-01,Skybox E-X,Jason Kidd,14,,,,4/20/2024,SJ Card Show,$3.00,,,,,,,,
Basketball,2000-01,Skybox E-X,Mike Bibby,31,,,,4/20/2024,SJ Card Show,$2.00,,,,,,,,
Basketball,1996-97,Skybox Z Force,Grant Hill,175,Zuperman,,,4/20/2024,SJ Card Show,$2.00,,,,,,,,
